"Naam gemeente, naam oude gemeente (van voor de fusie), van het district
een asterisk (*) achter de naam van een oude gemeente betekent dat het slechts gaat om een deel van de oude gemeente";NIS-code;Lettercode voor de oude gemeente
10 ADMINISTR. WIJK OF DISTRICT;11002;G   
11 ADMINISTR. WIJK OF DISTRICT;11002;H   
12 ADMINISTR. WIJK OF DISTRICT;11002;J   
1-2-3-4 ADMINISTR. WIJK OF DISTRICT;11002;A   
2 EN 3 DISTRICT HAVENGEBIED;11002;K   
4 EN 5 DISTRICT;11002;L   
5-6 ADMINISTR. WIJK OF DISTR.;11002;C   
7 ADMINISTR. WIJK OF DISTRICT;11002;D   
8 ADMINISTR. WIJK OF DISTRICT;11002;E   
9 ADMINISTR. WIJK OF DISTRICT;11002;F   
AAIGEM;41082;C   
AALBEKE;34022;E   
AALST;41002;    
AALST;41002;A   
AALST;71053;N   
AALTER;44001;    
AALTER;44001;A   
AARSCHOT;24001;    
AARSCHOT + DEEL BEGIJNENDIJK;24001;A   
AARSELE;37015;D   
AARTRIJKE*;31040;D   
AARTSELAAR;11001;    
AARTSELAAR;11001;A   
ABEE*;61081;C   
ABOLENS;64034;F   
ACHEL;72037;B   
ACHENE*;91030;G   
ACHET;91059;B   
ACOSSE;64075;D   
ACOZ;52025;D   
ADEGEM*+DEEL VAN EEKLO;43010;C   
ADINKERKE;38008;B   
AFDELING 2 - SINT-KRUIS;31006;B   
AFFLIGEM;23105;    
AGIMONT;91142;F   
AINEFFE;64076;E   
AISCHE-EN-REFAIL*;92035;S   
AISEAU;52074;A   
AISEAU - PRESLES;52074;    
AISEMONT;92048;E   
ALKEN;73001;    
ALKEN;73001;A   
ALLE*;91143;B   
ALLEUR*;62003;C   
ALSEMBERG;23003;B   
ALVERINGEM;38002;    
ALVERINGEM;38002;A   
AMAY;61003;    
AMAY;61003;A   
AMBERLOUP;82038;B   
AMBLY;83040;C   
AMBRESIN;64075;B   
AMEL;63001;    
AMEL;63001;A   
AMONINES;83013;B   
AMOUGIES;57095;A   
AMPSIN;61003;D   
ANDENNE;92003;    
ANDENNE;92003;A   
ANDERLECHT;21001;    
ANDERLECHT;21001;    
ANDERLECHT-CANAL-CHEM.FER EST;21001;B   
ANDERLECHT-CENTRE;21001;A   
ANDERLECHT-CENTRUM;21001;A   
ANDERLECHT-KANAAL-SPOOR OOST;21001;B   
ANDERLECHT-RING OUEST;21001;C   
ANDERLECHT-RING WEST;21001;C   
ANDERLUES;56001;    
ANDERLUES;56001;A   
ANDRIMONT;63020;B   
ANGLEUR + PARTIE DE OUGREE,TILFF ET EMBOURG;62063;H   
ANGRE;53083;C   
ANGREAU;53083;B   
ANHEE;91005;    
ANHEE;91005;A   
ANLIER*;85046;F   
ANLOY;84035;E   
ANNEVOIE-ROUILLON;91005;E   
ANS;62003;    
ANS*;62003;A   
ANSEROEUL;57095;C   
ANTHEE;91103;C   
ANTHEIT;61072;F   
ANTHISNES;61079;    
ANTHISNES*;61079;A   
ANTOING;57003;    
ANTOING;57003;A   
ANTWERPEN;11002;    
ANVAING;51065;J   
ANZEGEM;34002;    
ANZEGEM;34002;A   
APPELS;42006;B   
APPELTERRE-EICHEM;41048;H   
ARBRE;51004;H   
ARBRE;92101;D   
ARBREFONTAINE*;63045;C   
ARC - AINIERES;51065;L   
ARCHENNES;25037;B   
ARDOOIE;37020;    
ARDOOIE;37020;A   
ARENDONK;13001;    
ARENDONK* & DEEL RETIE;13001;A   
ARGENTEAU;62108;C   
ARLON;81001;    
ARLON + PARTIE DE WOLKRANGE;81001;A   
ARQUENNES;52063;C   
ARSIMONT;92137;B   
ARVILLE;84059;D   
AS;71002;    
