name,zipCode,nisCode,province
'S Gravenwezel,2970,11039,Antwerpen
'S Herenelderen,3700,73083,Limburg
Aaigem,9420,41082,Oost-Vlaanderen
Aalbeke,8511,34022,West-Vlaanderen
Aalst,3800,71053,Limburg
Aalst,9300,71053,Oost-Vlaanderen
Aalter,9880,44001,Oost-Vlaanderen
Aarschot,3200,24001,Vlaams-Brabant
Aarsele,8700,37015,West-Vlaanderen
Aartrijke,8211,31040,West-Vlaanderen
Aartselaar,2630,11001,Antwerpen
Abolens,4280,64034,Luik
Abée,4557,61081,Luik
Achel,3930,72037,Limburg
Achet,5362,91059,Namen
Achêne,5590,91030,Namen
Acosse,4219,64075,Luik
Acoz,6280,52025,Henegouwen
Adegem,9991,43010,Oost-Vlaanderen
Adinkerke,8660,38008,West-Vlaanderen
Affligem,1790,23105,Vlaams-Brabant
Afsnee,9051,44021,Oost-Vlaanderen
Agimont,5544,91142,Namen
Aineffe,4317,64076,Luik
Aische-En-Refail,5310,92035,Namen
Aiseau,6250,52074,Henegouwen
Aisemont,5070,92048,Namen
Alken,3570,73001,Limburg
Alle,5550,91143,Namen
Alleur,4432,62003,Luik
Alsemberg,1652,23003,Vlaams-Brabant
Alveringem,8690,38002,West-Vlaanderen
Amay,4540,61003,Luik
Amberloup,6680,82038,Luxemburg
Ambly,6953,83040,Luxemburg
Amblève,4770,63001,Luik
Ambresin,4219,64075,Luik
Amonines,6997,83013,Luxemburg
Amougies,7750,57095,Henegouwen
Ampsin,4540,61003,Luik
Andenne,5300,92003,Namen
Anderlecht,1070,21001,Brussel
Anderlues,6150,56001,Henegouwen
Andrimont,4821,63020,Luik
Angleur,4031,62063,Luik
Angre,7387,53083,Henegouwen
Angreau,7387,53083,Henegouwen
Anhée,5537,91005,Namen
Anlier,6721,85046,Luxemburg
Anloy,6890,84035,Luxemburg
Annevoie-Rouillon,5537,91005,Namen
Ans,4430,62003,Luik
Anseremme,5500,91034,Namen
